id	hyhivoc
12133	1.5
13001	2
13003	1.5
13005	2
13007	1.5
13009	2.5
13011	3.5
13013	3.5
13015	4
13017	1.5
13019	2
13021	3
13023	2
13025	2
13027	2
13029	2.5
13031	2
13033	2
13035	2.5
13037	1.5
13039	2
13043	2
13045	3.5
13047	4.5
13049	1.5
13051	3.5
13053	2.5
13055	3.5
13057	4
13059	3.5
13061	1.5
13063	7
13065	1.5
13067	9
13069	2
13071	2
13073	2.5
13075	2
13077	3.5
13079	2
13081	2
13083	4
13085	4
13087	1.5
13089	8.5
13091	2
13093	2
13095	2
13097	6
13099	1.5
13101	1.5
13103	2
13105	2
13107	1.5
13109	2
13111	3.5
13113	6.5
13115	4
13117	5
13119	3
13121	10.5
13123	3.5
13125	2
13127	2
13129	3.5
13131	2
13133	2
13135	6.5
13137	3
13139	4.5
13141	2
13143	3.5
13145	2.5
13147	3
13149	3
13151	4
13153	4
13155	2
13157	3
13159	2.5
13161	2
13163	2
13165	1.5
13167	2
13169	2.5
13171	3
13173	2
13175	2
13177	2
13179	2.5
13181	2
13183	2
13185	2.5
13187	4
13189	2.5
13191	2
13193	2
13195	3
13197	2
13199	2.5
13201	1.5
13205	1.5
13207	2.5
13209	2
13211	2
13213	3.5
13215	3
13217	3.5
13219	5
13221	2
13223	5
13225	4
13227	3.5
13229	2
13231	4.5
13233	3.5
13235	2
13237	2
13239	1.5
13241	3
13243	1.5
13245	7.5
13247	4
13249	2
13251	1.5
13253	1.5
13255	4
13257	3.5
13259	2
13261	2
13263	2.5
13265	2
13267	2
13269	2
13271	2
13273	1.5
13275	2
13277	2
13279	2
13281	3
13283	2
13285	3
13287	2
13289	2
13291	3.5
13293	2.5
13295	4
13297	3.5
13299	2
13301	2
13303	2
13305	2
13307	2
13309	2
13311	3
13313	4.5
13315	2
13317	2
13319	2
13321	2
17001	2.5
17003	2.5
17005	2.5
17007	4
17009	2.5
17011	3
17013	2.5
17015	3
17017	2.5
17019	3
17021	3
17023	3
17025	2.5
17027	2.5
17029	4
17031	4
17033	3
17035	3
17037	4.5
17039	2.5
17041	2.5
17043	11
17045	3
17047	2.5
17049	3
17051	2.5
17053	2.5
17055	3
17057	2.5
17059	2.5
17061	2.5
17063	3.5
17065	2.5
17067	2.5
17069	2.5
17071	2.5
17073	3
17075	2.5
17077	2.5
17079	2.5
17081	3
17083	3
17085	2.5
17087	2.5
17089	8
17091	3.5
17093	4.5
17095	3.5
17097	1.5
17099	3.5
17101	2.5
17103	3.5
17105	3
17107	3
17109	2.5
17111	5
17113	2.5
17115	3.5
17117	2.5
17119	3
17121	2.5
17123	3
17125	2.5
17127	3
17129	2.5
17131	2.5
17133	3.5
17135	2.5
17137	2.5
17139	3
17141	3.5
17143	3.5
17145	2.5
17147	2.5
17149	2.5
17151	2.5
17153	2.5
17155	3
17157	2.5
17159	2.5
17161	4.5
17163	4
17165	2.5
17167	3.5
17169	2.5
17171	3
17173	2.5
17175	3
17177	3.5
17179	3.5
17181	2.5
17183	3
17185	2.5
17187	2.5
17189	2.5
17191	2.5
17193	2.5
17195	3
17197	5
17199	3.5
17201	8.5
17203	3
18001	3
18003	3
18005	4.5
18007	2.5
18009	3
18011	4
18013	3.5
18015	3
18017	3.5
18019	3
18021	3.5
18023	3
18025	3
18027	3
18029	5
18031	3.5
18033	3
18035	3.5
18037	3
18039	3
18041	4
18043	7
18045	3
18047	4
18049	3
18051	3
18053	3.5
18055	3
18057	4
18059	4
18061	4
18063	5.5
18065	4
18067	4.5
18069	3
18071	3.5
18073	2.5
18075	3
18077	3
18079	3.5
18081	4.5
18083	3
18085	3.5
18087	2.5
18089	5
18091	3
18093	3.5
18095	4.5
18097	13
18099	3
18101	3
18103	3
18105	3.5
18107	3.5
18109	4
18111	2.5
18113	3.5
18115	4.5
18117	3
18119	3.5
18121	3
18123	2.5
18125	3
18127	4.5
18129	3.5
18131	2.5
18133	4
18135	3.5
18137	3.5
18139	3.5
18141	5.5
18143	3
18145	3.5
18147	3
18149	3
18151	3
18153	3
18155	3.5
18157	4
18159	3.5
18161	4.5
18163	6
18165	3
18167	4
18169	3
18171	2.5
18173	2.5
18175	3
18177	5.5
18179	3
18181	2.5
18183	3.5
19001	2
19003	2
19005	1.5
19007	2
19009	2
19011	3
19013	2.5
19015	2.5
19017	2
19019	2.5
19021	2
19023	2
19025	2
19027	2
19029	2
19031	2.5
19033	2.5
19035	2
19037	2
19039	2
19041	1.5
19043	2
19045	2.5
19047	2
